EmployeeID,FirstName,LastName,Email,Department,Role,Salary,HireDate,City,Status
1001,Alice,Johnson,alice.j@example.com,HR,HR Manager,65000,12-05-2018,New York,Active
1002,Bob,Smith,bob.smith@example.com,IT,Software Engineer,78000,20-03-2019,Chicago,Active
1003,Carol,Davis,carol.d@example.com,Finance,Accountant,70000,11-07-2020,Los Angeles,Active
1004,Dan,Brown,dan.b@example.com,Marketing,SEO Specialist,68000,10-01-2017,Houston,Inactive
1005,Emma,Wilson,emma.w@example.com,IT,System Admin,72000,01-09-2021,Seattle,Active
1006,Frank,Lee,frank.l@example.com,Sales,Sales Manager,85000,05-12-2016,Miami,Active
1007,Grace,Kim,grace.k@example.com,HR,Recruiter,63000,18-02-2022,Denver,Active
1008,Henry,Miller,henry.m@example.com,IT,DevOps Engineer,80000,21-08-2018,Austin,Active
1009,Ivy,Lopez,ivy.l@example.com,Marketing,Content Creator,67000,30-10-2020,Boston,Active
1010,Jack,Nguyen,jack.n@example.com,Finance,Financial Analyst,75000,14-06-2019,San Diego,Inactive
