Name,Age,Salary,Email,Join_Date,Gender,Department,Rating
Thomas Chavez,60,68720,petersonsherry@gmail.com,01-04-2020,Male,Admin,4.7
Matthew Hayes,58,52478,johnsonmatthew@yahoo.com,21-09-2024,Female,Marketing,4.8
Tom Alvarado,49,116620,jonathan28@perkins.com,20-02-2017,Male,IT,2.4
Benjamin Gilmore,,51398,derek32@williams.biz,29-09-2016,Male,HR,2.5
Stephen Hoffman,38,96942,otorres@yahoo.com,07-08-2016,Female,HR,4.7
Lori Bradford,48,43885,steven46@gmail.com,20-04-2025,Other,HR,
Donna Sandoval,,114084,qdiaz@hotmail.com,15-03-2021,Female,IT,
Sarah Rios,36,50538,crocha@gmail.com,11-06-2017,Other,Marketing,
Margaret Neal,51,33737,michaellee@cooper-anderson.net,06-04-2023,Female,Marketing,
Jason Myers,,109456,lambpamela@yahoo.com,09-05-2021,Female,Marketing,
Brian White,32,77505,emily26@oliver.net,01-12-2018,Female,Operations,
Cristina Wall,43,93324,gibsonjoshua@austin-clarke.biz,26-05-2017,Other,Admin,
Michael Hanson,,39480,michael34@hotmail.com,16-07-2021,Female,Finance,
Caleb Miller,40,38969,brucemills@white.com,26-05-2021,Other,IT,
Seth Boyd,57,107822,collinsstephanie@yahoo.com,16-09-2020,Male,,
Jessica Moore,56,114795,courtney86@gmail.com,28-08-2021,Male,Sales,
Jason Moss,,37651,arthur60@gmail.com,02-07-2017,Female,Sales,2.7
Ann Smith,57,74863,mwood@yang.org,14-07-2019,Female,HR,2.7
Sarah Anderson,54,,dukebrittany@hotmail.com,,Other,,3.2
Julie Jones,59,114384,laurahall@orr.com,11-08-2021,Female,Sales,1.6
Clarence Smith,,,terriallen@alvarado.com,20-05-2017,Male,Admin,3
Lisa Robinson,29,97789,kelly17@hotmail.com,06-07-2025,Female,Finance,4
Daniel Cooper,35,77847,patriciaperez@jackson.com,30-08-2025,Female,Marketing,4.7
James Hall,50,74673,dorseyheather@humphrey.com,08-04-2017,Male,Operations,2.8
Michelle Lopez,52,59771,jdiaz@hotmail.com,10-06-2018,Male,Marketing,4.2
Joseph Campbell,31,116679,byrdbrian@gmail.com,26-04-2025,Other,IT,1.2
Kathryn Thomas,49,77050,wbyrd@koch-munoz.org,02-02-2018,Female,IT,4.3
Christina Richardson,35,123155,amy09@bryan-woods.com,29-12-2023,Female,Admin,1.2
James Everett,35,133501,glasskimberly@bailey-gillespie.com,30-12-2015,Male,Sales,4.5
Bryan Ho,51,89996,daniel22@gmail.com,04-03-2016,Female,Marketing,3
