Customer ID,Customer Name,Segment,City,Sales,Quantity,Profit
AA-10315,Alex Avila,Consumer,Minneapolis,362.94,3,90.735
AA-10315,Alex Avila,Consumer,San Francisco,52.98,2,14.8344
AA-10315,Alex Avila,Consumer,San Francisco,673.568,2,252.588
AA-10315,Alex Avila,Consumer,Minneapolis,11.54,2,5.77
AA-10315,Alex Avila,Consumer,San Francisco,26.96,2,7.0096
AA-10315,Alex Avila,Consumer,Round Rock,3930.072,3,-786.0144
AA-10315,Alex Avila,Consumer,Round Rock,2.304,1,0.7776
AA-10315,Alex Avila,Consumer,Round Rock,431.976,3,32.3982
AA-10315,Alex Avila,Consumer,Round Rock,41.72,7,5.7365
AA-10315,Alex Avila,Consumer,New York City,14.94,3,7.0218
AA-10315,Alex Avila,Consumer,New York City,14.56,2,6.2608
AA-10375,Allen Armold,Consumer,Providence,16.9,5,7.774
AA-10375,Allen Armold,Consumer,Providence,39.96,2,18.7812
AA-10375,Allen Armold,Consumer,Los Angeles,16.52,5,5.5755
AA-10375,Allen Armold,Consumer,Atlanta,8.26,2,3.8822
AA-10375,Allen Armold,Consumer,Atlanta,499.98,2,114.9954
AA-10375,Allen Armold,Consumer,Salem,5.248,2,0.5904
AA-10375,Allen Armold,Consumer,Omaha,28.4,2,11.076
AA-10375,Allen Armold,Consumer,Omaha,149.97,3,50.9898
AA-10375,Allen Armold,Consumer,Rancho Cucamonga,34.272,3,11.1384
AA-10375,Allen Armold,Consumer,Mesa,16.768,2,1.4672
AA-10375,Allen Armold,Consumer,Atlanta,5.28,1,2.376
AA-10375,Allen Armold,Consumer,New York City,116.98,2,29.245
AA-10375,Allen Armold,Consumer,Lebanon,84.96,6,6.372
AA-10375,Allen Armold,Consumer,New York City,14.952,1,5.0463
AA-10375,Allen Armold,Consumer,New York City,17.94,3,8.073
AA-10480,Andrew Allen,Consumer,Middletown,27.46,2,9.8856
AA-10480,Andrew Allen,Consumer,Concord,15.552,3,5.4432
AA-10480,Andrew Allen,Consumer,Springfield,7.64,1,3.7436
AA-10480,Andrew Allen,Consumer,Springfield,265.17,1,47.7306
